"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
10452,"$1 under $25,000",21350,12390,1820,6960,16110,38330,16340
10452,"$25,000 under $50,000",9730,3910,1450,4230,7080,19910,8740
10452,"$50,000 under $75,000",3590,1330,650,1540,2580,7350,3120
10452,"$75,000 under $100,000",960,300,250,380,710,2090,880
10452,"$100,000 under $200,000",550,150,240,170,420,1340,560
10452,"$200,000 or more",20,**,**,**,**,40,**
,,,,,,,,
10453,,"37,600","18,910","4,320","13,940","28,000","71,780","31,070"
10453,"$1 under $25,000",23280,13460,1870,7760,17480,42110,18160
10453,"$25,000 under $50,000",9690,3870,1390,4280,6990,19800,8740
10453,"$50,000 under $75,000",3160,1150,590,1360,2390,6510,2750
10453,"$75,000 under $100,000",900,280,240,370,710,1990,850
10453,"$100,000 under $200,000",540,150,230,170,410,1310,570
10453,"$200,000 or more",30,**,**,**,20,60,**
,,,,,,,,
10454,,"15,840","7,790","1,740","6,180","11,300","31,310","14,210"
10454,"$1 under $25,000",9740,5550,700,3410,7000,17990,8030
10454,"$25,000 under $50,000",4170,1580,570,1990,2920,9060,4320
10454,"$50,000 under $75,000",1320,470,250,590,940,2880,1310
10454,"$75,000 under $100,000",350,110,100,130,250,770,320
10454,"$100,000 under $200,000",240,80,120,60,190,560,230
10454,"$200,000 or more",20,**,**,**,**,50,**
,,,,,,,,
10455,,"17,780","8,700","2,080","6,800","12,820","34,710","15,370"
10455,"$1 under $25,000",10300,5880,790,3550,7490,19010,8440
10455,"$25,000 under $50,000",4900,1920,690,2230,3450,10250,4660
10455,"$50,000 under $75,000",1780,660,340,750,1290,3730,1610
10455,"$75,000 under $100,000",500,150,140,190,360,1040,400
10455,"$100,000 under $200,000",300,90,120,80,230,680,260
10455,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
10456,,"40,390","19,740","4,390","15,780","29,460","78,620","35,060"
10456,"$1 under $25,000",24520,13900,1810,8600,18070,45160,20030
10456,"$25,000 under $50,000",10970,4250,1450,5110,7750,22780,10390
10456,"$50,000 under $75,000",3410,1200,650,1500,2490,7240,3180
10456,"$75,000 under $100,000",960,260,270,400,730,2220,980
10456,"$100,000 under $200,000",530,130,210,170,420,1220,480
10456,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
10457,,"32,720","16,220","3,730","12,390","24,510","63,270","27,850"
10457,"$1 under $25,000",20000,11370,1540,6920,15140,37100,16560
10457,"$25,000 under $50,000",8480,3410,1190,3770,6190,17280,7620
10457,"$50,000 under $75,000",2830,1020,520,1220,2090,5770,2430
10457,"$75,000 under $100,000",900,280,250,340,680,1900,760
10457,"$100,000 under $200,000",470,140,230,140,380,1140,450
10457,"$200,000 or more",40,**,**,**,30,80,30
,,,,,,,,
10458,,"34,320","17,370","4,900","11,660","25,280","65,520","27,440"
10458,"$1 under $25,000",19820,11480,1970,6210,14830,35950,15270
10458,"$25,000 under $50,000",9110,3830,1500,3660,6570,18500,7900
10458,"$50,000 under $75,000",3470,1430,700,1270,2470,6840,2680
10458,"$75,000 under $100,000",1120,370,380,350,810,2420,930
10458,"$100,000 under $200,000",760,260,330,170,570,1730,640
10458,"$200,000 or more",40,**,20,**,30,80,20
,,,,,,,,
10459,,"21,280","10,460","2,480","8,050","15,260","40,970","17,910"
10459,"$1 under $25,000",12280,7140,930,4090,8840,22120,9590
10459,"$25,000 under $50,000",5930,2330,770,2740,4160,12190,5510
10459,"$50,000 under $75,000",1990,700,400,840,1440,4200,1810
10459,"$75,000 under $100,000",660,190,190,260,490,1450,600
10459,"$100,000 under $200,000",420,100,190,120,330,1010,400
10459,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
10460,,"25,120","12,330","2,850","9,690","18,280","48,070","20,860"
10460,"$1 under $25,000",14600,8360,1160,4980,10720,26600,11600
10460,"$25,000 under $50,000",6900,2730,850,3220,4890,13940,6190
10460,"$50,000 under $75,000",2300,850,390,1020,1660,4600,1910
10460,"$75,000 under $100,000",800,260,220,310,610,1700,680
10460,"$100,000 under $200,000",490,130,230,160,400,1160,460
10460,"$200,000 or more",30,**,**,**,**,70,20
,,,,,,,,
10461,,"24,090","12,080","6,090","5,400","17,230","44,160","14,940"
10461,"$1 under $25,000",8580,5420,1430,1630,6170,13590,4500
10461,"$25,000 under $50,000",6210,3190,1150,1710,4210,11200,3860
10461,"$50,000 under $75,000",4160,1940,960,1140,2940,7600,2490
10461,"$75,000 under $100,000",2280,850,820,530,1710,4680,1590
10461,"$100,000 under $200,000",2530,640,1470,370,1940,6160,2150
10461,"$200,000 or more",330,40,260,20,260,930,350
,,,,,,,,
10462,,"39,510","19,550","8,170","10,980","27,900","73,670","27,310"
10462,"$1 under $25,000",16080,9530,2680,3650,11640,27690,10220
10462,"$25,000 under $50,000",10910,5080,1880,3690,7520,20960,8190
10462,"$50,000 under $75,000",6950,3070,1410,2270,4760,13010,4650
10462,"$75,000 under $100,000",3110,1180,940,900,2180,6240,2190
10462,"$100,000 under $200,000",2300,650,1160,470,1670,5360,1910
10462,"$200,000 or more",160,40,100,**,130,410,150
,,,,,,,,
10463,,"33,940","17,910","7,550","7,610","24,110","59,310","18,970"
10463,"$1 under $25,000",12390,8220,1270,2740,8940,18890,6360
10463,"$25,000 under $50,000",7620,4010,1110,2300,5320,13200,4480
10463,"$50,000 under $75,000",5120,2620,970,1320,3540,8710,2610
10463,"$75,000 under $100,000",3080,1440,830,680,2170,5520,1610
10463,"$100,000 under $200,000",4290,1380,2250,510,3050,9150,2620
10463,"$200,000 or more",1440,240,1120,60,1090,3840,1290
,,,,,,,,
10464,,"2,170","1,180",650,280,"1,590","3,590",870
10464,"$1 under $25,000",560,430,50,70,390,670,150
10464,"$25,000 under $50,000",400,260,60,70,290,610,160
10464,"$50,000 under $75,000",360,220,70,60,250,550,120
10464,"$75,000 under $100,000",270,130,90,30,200,450,90
10464,"$100,000 under $200,000",420,120,250,50,330,910,250
10464,"$200,000 or more",160,20,130,**,130,400,100
,,,,,,,,
10465,,"19,700","9,850","4,910","4,520","14,380","35,140","11,390"
10465,"$1 under $25,000",6210,4210,630,1280,4360,8730,2720
10465,"$25,000 under $50,000",4410,2380,650,1300,3010,7510,2470
10465,"$50,000 under $75,000",3330,1650,640,940,2430,5790,1820
10465,"$75,000 under $100,000",2180,860,720,520,1710,4270,1380
10465,"$100,000 under $200,000",3050,680,1850,450,2430,7410,2510
10465,"$200,000 or more",520,70,420,30,440,1430,490
,,,,,,,,
10466,,"32,740","15,890","4,480","11,550","23,430","58,220","22,190"
10466,"$1 under $25,000",14740,9080,1030,4410,10300,23520,8920
10466,"$25,000 under $50,000",9390,3970,1040,4080,6630,17210,6790
10466,"$50,000 under $75,000",4410,1700,800,1750,3230,8220,3010
10466,"$75,000 under $100,000",2150,670,600,790,1660,4380,1630
10466,"$100,000 under $200,000",1930,440,930,520,1510,4570,1720
10466,"$200,000 or more",120,30,80,**,100,320,120
,,,,,,,,
10467,,"44,640","22,060","7,170","14,670","32,230","84,000","33,700"
10467,"$1 under $25,000",22140,12950,2520,6400,16100,39000,15800
10467,"$25,000 under $50,000",12740,5490,1970,5020,9000,25140,10470
10467,"$50,000 under $75,000",5830,2360,1170,2160,4170,11300,4300
10467,"$75,000 under $100,000",2200,780,680,700,1640,4610,1730
10467,"$100,000 under $200,000",1630,450,770,390,1240,3710,1310
10467,"$200,000 or more",100,30,60,**,80,240,90
,,,,,,,,
10468,,"35,660","18,370","4,980","11,860","26,800","66,960","27,450"
10468,"$1 under $25,000",20220,11980,1990,6060,15430,35900,14800
10468,"$25,000 under $50,000",9370,4050,1450,3740,6880,18810,8010
10468,"$50,000 under $75,000",3790,1560,730,1420,2810,7400,2880
10468,"$75,000 under $100,000",1350,500,380,430,980,2730,1000
10468,"$100,000 under $200,000",870,260,400,210,650,2000,730
10468,"$200,000 or more",60,20,30,**,50,120,30
,,,,,,,,
10469,,"32,670","15,890","5,660","10,310","23,760","58,550","21,480"
10469,"$1 under $25,000",13400,8590,1170,3440,9510,20480,7140
10469,"$25,000 under $50,000",8810,3930,1100,3530,6290,16040,6150
10469,"$50,000 under $75,000",4920,1940,900,1890,3610,9320,3500
10469,"$75,000 under $100,000",2570,800,840,830,2010,5310,1900
10469,"$100,000 under $200,000",2670,590,1420,590,2110,6560,2480
10469,"$200,000 or more",300,40,230,30,230,840,310
,,,,,,,,
10470,,"7,660","4,180","1,550","1,770","5,440","13,070","4,120"
10470,"$1 under $25,000",2840,1890,250,660,1940,4190,1360
10470,"$25,000 under $50,000",1940,1050,280,570,1370,3300,1080
10470,"$50,000 under $75,000",1230,680,230,290,880,2030,570
10470,"$75,000 under $100,000",670,290,220,130,480,1240,350
10470,"$100,000 under $200,000",840,240,460,120,660,1940,640
10470,"$200,000 or more",140,30,110,**,110,370,120
,,,,,,,,
10471,,"10,070","5,330","3,070","1,350","7,040","17,500","4,860"
10471,"$1 under $25,000",2360,1820,230,260,1550,2740,590
10471,"$25,000 under $50,000",1650,1030,220,340,1070,2510,670
10471,"$50,000 under $75,000",1640,970,300,280,1100,2570,630
10471,"$75,000 under $100,000",1230,650,320,210,900,2090,550
10471,"$100,000 under $200,000",2100,720,1110,220,1530,4480,1280
10471,"$200,000 or more",1090,140,890,40,890,3110,1140
,,,,,,,,
10472,,"28,880","14,210","5,170","9,130","21,570","56,880","23,850"
10472,"$1 under $25,000",16190,9360,2110,4570,12170,29680,12390
10472,"$25,000 under $50,000",7800,3180,1520,2990,5710,16400,7100
10472,"$50,000 under $75,000",3010,1120,770,1050,2210,6410,2630
10472,"$75,000 under $100,000",1110,340,390,360,870,2530,1030
10472,"$100,000 under $200,000",720,210,350,160,560,1720,650
10472,"$200,000 or more",50,**,30,**,50,140,50
,,,,,,,,
10473,,"27,910","13,900","3,550","9,960","19,180","50,270","19,810"
10473,"$1 under $25,000",12730,7830,920,3840,8550,20930,8250
10473,"$25,000 under $50,000",7720,3440,810,3310,5230,14410,5890
10473,"$50,000 under $75,000",3940,1600,580,1660,2810,7410,2900
10473,"$75,000 under $100,000",1830,600,440,730,1320,3670,1390
10473,"$100,000 under $200,000",1570,400,720,420,1180,3560,1280
10473,"$200,000 or more",120,30,80,**,90,290,100
,,,,,,,,
10474,,"5,050","2,570",540,"1,910","3,710","9,860","4,400"
10474,"$1 under $25,000",2940,1750,200,980,2140,5450,2440
10474,"$25,000 under $50,000",1410,570,180,640,1010,2900,1320
10474,"$50,000 under $75,000",490,180,90,220,390,1030,450
10474,"$75,000 under $100,000",140,50,40,70,100,310,130
10474,"$100,000 under $200,000",70,20,30,**,70,170,60
10474,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
10475,,"22,790","12,680","3,070","6,420","15,200","35,800","10,750"
10475,"$1 under $25,000",7390,5450,510,1310,4480,9430,2300
10475,"$25,000 under $50,000",6500,3570,550,2180,4330,10230,3200
10475,"$50,000 under $75,000",4680,2250,600,1650,3280,7750,2470
10475,"$75,000 under $100,000",2430,920,590,850,1760,4500,1490
10475,"$100,000 under $200,000",1700,490,760,430,1280,3670,1220
10475,"$200,000 or more",90,**,60,**,70,220,70
,,,,,,,,
10501,,700,310,330,40,510,"1,400",470
10501,"$1 under $25,000",190,160,20,20,120,120,20
10501,"$25,000 under $50,000",90,60,**,**,60,120,20
10501,"$50,000 under $75,000",70,40,30,20,50,130,30
10501,"$75,000 under $100,000",60,20,30,**,40,110,30
10501,"$100,000 under $200,000",140,30,110,**,110,390,130
10501,"$200,000 or more",150,**,140,**,130,530,240
,,,,,,,,
10502,,"2,840","1,140","1,440",200,"2,060","6,100","2,100"
10502,"$1 under $25,000",650,550,50,30,440,490,90
10502,"$25,000 under $50,000",290,190,60,30,180,450,100
10502,"$50,000 under $75,000",240,140,60,30,170,400,100
10502,"$75,000 under $100,000",230,100,100,30,170,470,140
10502,"$100,000 under $200,000",630,120,440,60,500,1630,550
10502,"$200,000 or more",800,40,730,20,600,2660,1120
,,,,,,,,
10504,,"4,710","1,850","2,550",210,"3,890","10,180","3,550"
10504,"$1 under $25,000",960,900,40,20,740,490,70
10504,"$25,000 under $50,000",380,270,60,50,290,520,110
10504,"$50,000 under $75,000",320,210,70,**,220,460,80
10504,"$75,000 under $100,000",260,120,100,30,220,490,130
10504,"$100,000 under $200,000",720,200,450,50,600,1680,510
10504,"$200,000 or more",2070,150,1830,60,1820,6540,2650
,,,,,,,,
10505,,670,320,290,60,460,"1,370",480
10505,"$1 under $25,000",210,170,**,30,130,210,50
10505,"$25,000 under $50,000",110,70,60,**,70,160,30
10505,"$50,000 under $75,000",70,40,**,30,50,120,50
10505,"$75,000 under $100,000",40,40,20,**,30,80,**
10505,"$100,000 under $200,000",120,**,90,**,100,340,130
10505,"$200,000 or more",120,**,120,**,80,460,220
,,,,,,,,
10506,,"2,820","1,160","1,460",120,"2,240","5,840","2,000"
10506,"$1 under $25,000",710,640,40,30,550,410,60
10506,"$25,000 under $50,000",230,170,40,**,170,290,50
10506,"$50,000 under $75,000",200,130,50,30,140,310,70
10506,"$75,000 under $100,000",150,60,60,**,110,290,80
10506,"$100,000 under $200,000",460,90,320,30,370,1170,390
10506,"$200,000 or more",1070,70,950,30,900,3370,1350
,,,,,,,,
10507,,"2,660","1,320",970,320,"1,910","5,140","1,730"
10507,"$1 under $25,000",810,590,110,100,530,1100,390
10507,"$25,000 under $50,000",540,300,120,100,370,980,330
10507,"$50,000 under $75,000",320,170,80,50,230,580,180
10507,"$75,000 under $100,000",210,90,90,30,160,420,120
10507,"$100,000 under $200,000",420,120,270,40,310,1010,320
10507,"$200,000 or more",360,50,300,**,310,1050,390
,,,,,,,,
10509,,"9,960","4,860","3,890","1,000","6,960","18,520","5,630"
10509,"$1 under $25,000",2920,2340,280,270,1910,2990,710
10509,"$25,000 under $50,000",1770,1080,390,260,1190,2980,850
10509,"$50,000 under $75,000",1290,650,400,180,900,2290,610
10509,"$75,000 under $100,000",1020,410,460,120,750,2020,550
10509,"$100,000 under $200,000",2090,320,1580,150,1550,5540,1870
10509,"$200,000 or more",870,60,780,20,660,2700,1040
,,,,,,,,
10510,,"4,760","2,020","2,420",260,"3,500","9,640","3,040"
10510,"$1 under $25,000",1030,940,60,30,710,620,70
10510,"$25,000 under $50,000",490,360,80,40,330,650,110
10510,"$50,000 under $75,000",380,240,80,50,280,580,120
10510,"$75,000 under $100,000",310,130,130,40,230,570,140
10510,"$100,000 under $200,000",990,240,670,60,730,2370,700
10510,"$200,000 or more",1560,110,1400,40,1220,4850,1900
,,,,,,,,
10511,,"1,160",550,470,130,760,"2,210",690
10511,"$1 under $25,000",330,270,30,30,200,350,90
10511,"$25,000 under $50,000",210,120,50,40,130,350,100
10511,"$50,000 under $75,000",160,70,60,30,110,320,90
10511,"$75,000 under $100,000",130,50,60,30,90,260,70
10511,"$100,000 under $200,000",250,40,200,**,180,690,240
10511,"$200,000 or more",80,**,70,0,50,240,100
,,,,,,,,
10512,,"12,510","5,980","5,030","1,200","8,340","23,180","6,620"
10512,"$1 under $25,000",3350,2670,340,280,1970,3380,650
10512,"$25,000 under $50,000",2230,1410,450,310,1370,3500,850
10512,"$50,000 under $75,000",1800,930,550,250,1190,3210,860
10512,"$75,000 under $100,000",1410,460,730,170,1010,2940,800
10512,"$100,000 under $200,000",2830,440,2160,170,2120,7480,2480
10512,"$200,000 or more",890,70,800,20,680,2670,980
,,,,,,,,
10514,,"5,360","2,020","3,060",210,"3,980","12,180","4,610"
10514,"$1 under $25,000",1190,1090,60,30,840,570,90
10514,"$25,000 under $50,000",390,300,50,30,270,490,100
10514,"$50,000 under $75,000",310,210,60,40,220,490,120
10514,"$75,000 under $100,000",240,130,90,**,180,420,100
10514,"$100,000 under $200,000",790,180,540,60,580,1940,620
10514,"$200,000 or more",2440,110,2260,50,1890,8270,3580
,,,,,,,,
10516,,"2,740","1,250","1,210",190,"1,790","5,150","1,420"
10516,"$1 under $25,000",690,540,70,50,370,690,130
10516,"$25,000 under $50,000",430,270,100,40,240,660,140
10516,"$50,000 under $75,000",340,190,110,30,220,580,130
10516,"$75,000 under $100,000",290,100,140,30,200,580,140
10516,"$100,000 under $200,000",650,110,490,40,500,1650,520
10516,"$200,000 or more",340,40,300,**,260,990,360
,,,,,,,,
10518,,740,380,320,40,520,"1,410",450
10518,"$1 under $25,000",200,180,**,20,130,130,20
10518,"$25,000 under $50,000",90,70,40,**,60,120,20
10518,"$50,000 under $75,000",60,40,**,**,40,100,20
10518,"$75,000 under $100,000",50,30,20,20,40,100,30
10518,"$100,000 under $200,000",160,60,100,**,120,370,110
10518,"$200,000 or more",180,**,160,**,130,590,250
,,,,,,,,
10520,,"6,450","2,980","2,780",520,"4,330","12,310","3,640"
10520,"$1 under $25,000",1550,1280,130,100,970,1370,210
10520,"$25,000 under $50,000",890,590,150,120,550,1310,290
10520,"$50,000 under $75,000",790,460,200,90,520,1280,300
10520,"$75,000 under $100,000",640,270,250,90,430,1200,320
10520,"$100,000 under $200,000",1410,290,1010,80,1000,3570,1150
10520,"$200,000 or more",1170,90,1040,40,860,3580,1370
,,,,,,,,
10522,,"5,240","2,440","2,160",540,"3,620","10,060","3,100"
10522,"$1 under $25,000",1150,960,100,80,740,1020,190
10522,"$25,000 under $50,000",740,470,120,140,480,1120,280
10522,"$50,000 under $75,000",710,420,140,120,460,1130,270
10522,"$75,000 under $100,000",530,250,200,70,360,980,250
10522,"$100,000 under $200,000",1090,250,710,100,770,2690,900
10522,"$200,000 or more",1020,90,890,30,810,3120,1210
,,,,,,,,
10523,,"4,840","2,400","1,410",890,"3,370","8,750","2,830"
10523,"$1 under $25,000",1470,1050,130,270,1030,1840,540
10523,"$25,000 under $50,000",1030,530,210,260,730,1900,660
10523,"$50,000 under $75,000",740,350,190,160,470,1320,400
10523,"$75,000 under $100,000",510,200,190,90,350,1040,350
10523,"$100,000 under $200,000",840,230,500,110,590,1990,660
10523,"$200,000 or more",250,40,190,**,200,660,220
,,,,,,,,
10524,,"2,140",970,960,150,"1,460","4,030","1,120"
10524,"$1 under $25,000",530,450,50,30,310,470,80
10524,"$25,000 under $50,000",300,190,60,40,170,460,110
10524,"$50,000 under $75,000",260,130,90,40,170,480,120
10524,"$75,000 under $100,000",210,60,130,**,150,470,130
10524,"$100,000 under $200,000",510,100,360,40,400,1250,380
10524,"$200,000 or more",330,40,270,**,260,900,300
,,,,,,,,
10526,,990,450,420,70,700,"1,920",620
10526,"$1 under $25,000",240,200,20,**,160,210,50
10526,"$25,000 under $50,000",130,80,20,40,90,180,40
10526,"$50,000 under $75,000",110,50,30,**,70,180,40
10526,"$75,000 under $100,000",80,40,30,30,60,160,40
10526,"$100,000 under $200,000",220,60,140,**,160,530,170
10526,"$200,000 or more",210,20,180,**,160,660,280
,,,,,,,,
10527,,440,150,260,0,290,970,310
10527,"$1 under $25,000",90,80,**,0,60,70,20
10527,"$25,000 under $50,000",50,30,40,0,20,70,**
10527,"$50,000 under $75,000",40,40,**,0,30,60,20
10527,"$75,000 under $100,000",30,**,20,0,20,70,**
10527,"$100,000 under $200,000",120,**,100,0,80,350,130
10527,"$200,000 or more",110,**,100,0,80,350,140
,,,,,,,,
10528,,"5,900","2,850","2,400",510,"4,470","11,210","3,490"
10528,"$1 under $25,000",1540,1250,140,120,1080,1420,270
10528,"$25,000 under $50,000",910,580,180,120,610,1380,320
10528,"$50,000 under $75,000",760,440,190,100,570,1270,320
10528,"$75,000 under $100,000",540,230,240,60,420,1070,300
10528,"$100,000 under $200,000",990,260,640,70,800,2460,830
10528,"$200,000 or more",1160,90,1010,40,990,3610,1450
,,,,,,,,
10530,,"7,240","3,850","2,650",550,"5,050","12,330","2,820"
10530,"$1 under $25,000",1430,1170,150,80,920,1420,210
10530,"$25,000 under $50,000",970,680,130,120,660,1360,270
10530,"$50,000 under $75,000",1070,710,210,110,730,1550,270
10530,"$75,000 under $100,000",880,500,250,90,660,1400,270
10530,"$100,000 under $200,000",1850,640,1040,150,1300,3780,890
10530,"$200,000 or more",1040,150,870,**,780,2820,910
,,,,,,,,
10532,,"2,600","1,160","1,200",180,"1,820","5,080","1,510"
10532,"$1 under $25,000",590,490,70,30,380,520,90
10532,"$25,000 under $50,000",400,260,90,40,260,570,90
10532,"$50,000 under $75,000",350,190,110,30,240,590,140
10532,"$75,000 under $100,000",240,100,100,30,180,470,120
10532,"$100,000 under $200,000",700,120,530,50,520,1890,660
